review_id,product_id,product_name,brand,marketplace,source_url,raw_text,rating,review_date,review_title,reviewer_name,scraped_at
flipkart_3d409c417101c6b8d1c8,infinix_note_50x_5g_plus,Infinix Note 50x 5G Plus,Infinix,flipkart,https://www.flipkart.com/infinix-note-50x-5g-45w-charger-box-ai-sunset-spice-pink-128-gb/product-reviews/itm012aed121baec?pid=MOBHAYMDFNNMDMFC&page=2,Nice value for money,4.0,,Nice value for money,,2026-05-09T22:20:04+00:00
flipkart_a7c97186a68a8ccefa74,infinix_note_50x_5g_plus,Infinix Note 50x 5G Plus,Infinix,flipkart,https://www.flipkart.com/infinix-note-50x-5g-45w-charger-box-ai-sunset-spice-pink-128-gb/product-reviews/itm012aed121baec?pid=MOBHAYMDFNNMDMFC&page=2,Helpful for 4,4,,Helpful for 4,,2026-05-09T22:20:04+00:00
flipkart_924b23b8c005a30445b2,infinix_note_50x_5g_plus,Infinix Note 50x 5G Plus,Infinix,flipkart,https://www.flipkart.com/infinix-note-50x-5g-45w-charger-box-ai-sunset-spice-pink-128-gb/product-reviews/itm012aed121baec?pid=MOBHAYMDFNNMDMFC&page=2,Nothing about to describe it's Awesome,5.0,,Best in the market!,,2026-05-09T22:20:04+00:00
flipkart_7c0aea64eae289f3a2da,infinix_note_50x_5g_plus,Infinix Note 50x 5G Plus,Infinix,flipkart,https://www.flipkart.com/infinix-note-50x-5g-45w-charger-box-ai-sunset-spice-pink-128-gb/product-reviews/itm012aed121baec?pid=MOBHAYMDFNNMDMFC&page=2,Helpful for 7,1,,Helpful for 7,,2026-05-09T22:20:04+00:00
flipkart_da4c4df1bd31706b84e8,infinix_note_50x_5g_plus,Infinix Note 50x 5G Plus,Infinix,flipkart,https://www.flipkart.com/infinix-note-50x-5g-45w-charger-box-ai-sunset-spice-pink-128-gb/product-reviews/itm012aed121baec?pid=MOBHAYMDFNNMDMFC&page=2,Best phone under this budget. But I face quick battery drain in this. And peak level performance and 90 fps gaming also support in free fire and call of duty. I recommend it to buy.. Really love this,4.0,,Helpful for 6,,2026-05-09T22:20:04+00:00
flipkart_c1c247c3f75560f2cca9,infinix_note_50x_5g_plus,Infinix Note 50x 5G Plus,Infinix,flipkart,https://www.flipkart.com/infinix-note-50x-5g-45w-charger-box-ai-sunset-spice-pink-128-gb/product-reviews/itm012aed121baec?pid=MOBHAYMDFNNMDMFC&page=2,Helpful for 6,1,,Helpful for 6,,2026-05-09T22:20:04+00:00
flipkart_52e120b2651cba3b683a,infinix_note_50x_5g_plus,Infinix Note 50x 5G Plus,Infinix,flipkart,https://www.flipkart.com/infinix-note-50x-5g-45w-charger-box-ai-sunset-spice-pink-128-gb/product-reviews/itm012aed121baec?pid=MOBHAYMDFNNMDMFC&page=2,And powerful procesr in thees phone And 45wat carger is good working,5.0,,Best phone in the Price And good work infinix teem,,2026-05-09T22:20:04+00:00
flipkart_807a1f518ad3b68b4b2c,infinix_note_50x_5g_plus,Infinix Note 50x 5G Plus,Infinix,flipkart,https://www.flipkart.com/infinix-note-50x-5g-45w-charger-box-ai-sunset-spice-pink-128-gb/product-reviews/itm012aed121baec?pid=MOBHAYMDFNNMDMFC&page=3,"Phone Performance is to Good.. I like camera, battery, sound..",5.0,,"Phone Performance is to Good.. I like camera, battery, sound..",,2026-05-09T22:20:10+00:00
flipkart_dfd80ec52dd6278c2848,infinix_note_50x_5g_plus,Infinix Note 50x 5G Plus,Infinix,flipkart,https://www.flipkart.com/infinix-note-50x-5g-45w-charger-box-ai-sunset-spice-pink-128-gb/product-reviews/itm012aed121baec?pid=MOBHAYMDFNNMDMFC&page=3,Helpful for 3,3,,Helpful for 3,,2026-05-09T22:20:10+00:00
flipkart_45c35b67efdc5ea8acf3,infinix_note_50x_5g_plus,Infinix Note 50x 5G Plus,Infinix,flipkart,https://www.flipkart.com/infinix-note-50x-5g-45w-charger-box-ai-sunset-spice-pink-128-gb/product-reviews/itm012aed121baec?pid=MOBHAYMDFNNMDMFC&page=3,Software experience good.,4.0,,Software experience good.,,2026-05-09T22:20:10+00:00
flipkart_e64790150d61ce15b804,infinix_note_50x_5g_plus,Infinix Note 50x 5G Plus,Infinix,flipkart,https://www.flipkart.com/infinix-note-50x-5g-45w-charger-box-ai-sunset-spice-pink-128-gb/product-reviews/itm012aed121baec?pid=MOBHAYMDFNNMDMFC&page=3,Helpful for 10,5.0,,Excellent,,2026-05-09T22:20:10+00:00
flipkart_c9f6acc3e1390832f08d,infinix_note_50x_5g_plus,Infinix Note 50x 5G Plus,Infinix,flipkart,https://www.flipkart.com/infinix-note-50x-5g-45w-charger-box-ai-sunset-spice-pink-128-gb/product-reviews/itm012aed121baec?pid=MOBHAYMDFNNMDMFC&page=3,Helpful for 10,4,,Helpful for 10,,2026-05-09T22:20:10+00:00
flipkart_43e7d71b1bb2631fb232,infinix_note_50x_5g_plus,Infinix Note 50x 5G Plus,Infinix,flipkart,https://www.flipkart.com/infinix-note-50x-5g-45w-charger-box-ai-sunset-spice-pink-128-gb/product-reviews/itm012aed121baec?pid=MOBHAYMDFNNMDMFC&page=3,Pushpa style mobile,5.0,,Pushpa style mobile,,2026-05-09T22:20:10+00:00
flipkart_0c65472e8a6b3ffa3539,infinix_note_50x_5g_plus,Infinix Note 50x 5G Plus,Infinix,flipkart,https://www.flipkart.com/infinix-note-50x-5g-45w-charger-box-ai-sunset-spice-pink-128-gb/product-reviews/itm012aed121baec?pid=MOBHAYMDFNNMDMFC&page=3,Helpful for 11,5,,Helpful for 11,,2026-05-09T22:20:10+00:00
flipkart_b90601e7dfe06dc60889,infinix_note_50x_5g_plus,Infinix Note 50x 5G Plus,Infinix,flipkart,https://www.flipkart.com/infinix-note-50x-5g-45w-charger-box-ai-sunset-spice-pink-128-gb/product-reviews/itm012aed121baec?pid=MOBHAYMDFNNMDMFC&page=3,Mobile super performance okay,5.0,,Mobile super performance okay,,2026-05-09T22:20:10+00:00
flipkart_a27b7e7d33a9620bf2a9,infinix_note_50x_5g_plus,Infinix Note 50x 5G Plus,Infinix,flipkart,https://www.flipkart.com/infinix-note-50x-5g-45w-charger-box-ai-sunset-spice-pink-128-gb/product-reviews/itm012aed121baec?pid=MOBHAYMDFNNMDMFC&page=3,Helpful for 2,2,,Helpful for 2,,2026-05-09T22:20:10+00:00
flipkart_14464f0f8fc7943477d9,infinix_note_50x_5g_plus,Infinix Note 50x 5G Plus,Infinix,flipkart,https://www.flipkart.com/infinix-note-50x-5g-45w-charger-box-ai-sunset-spice-pink-128-gb/product-reviews/itm012aed121baec?pid=MOBHAYMDFNNMDMFC&page=3,"Good in range ,,, front camera should be improved,,fast charging takes 50min,,ir",3.0,,"Good in range ,,, front camera should be improved,,fast charging takes 50min,,ir",,2026-05-09T22:20:10+00:00
flipkart_1adfa19b742083e8d8a6,infinix_note_50x_5g_plus,Infinix Note 50x 5G Plus,Infinix,flipkart,https://www.flipkart.com/infinix-note-50x-5g-45w-charger-box-ai-sunset-spice-pink-128-gb/product-reviews/itm012aed121baec?pid=MOBHAYMDFNNMDMFC&page=3,Helpful for 14,5,,Mirza Abdur Rahman Baig,,2026-05-09T22:20:10+00:00
